figure_id,figure_title,reader_question,figure_family,single_sentence_claim,primary_scope,primary_metric,uncertainty_or_caveat,slide_use,paper_use
F01,Research program from foundation to publication,What was completed across A0-A8?,process_timeline,A governed sequence separated readiness development confirmation diagnosis and synthesis,A0-A8,stage_status,No retrieval claim is attached to A0,Main overview,Main figure
F02,Protected evaluation partitions,How were development selection and confirmation separated?,partition_map,The protocol reserved one-time selection and confirmation populations from iterative development,Study design,query_count,Membership and identifiers remain protected,Methods overview,Methods figure
F03,Five retrieval systems under common screening,Which systems formed the initial frontier?,ranked_dot_plot,Patent-specialized and dense systems advanced beyond lexical and general-reference baselines,A1,Recall@100,Development aggregate is not final confirmation,System comparison,Main figure
F04,Document representation search decisions,Did every retriever have the same best representation?,decision_matrix,Representation outcomes were heterogeneous and retriever-dependent,A2,Recall@100,PatEmbed has a within-search winner but ties its A1 incumbent at displayed precision,Methods result,Main figure
F05,Transfer matrix,Does a representation transfer across retrievers?,heatmap,No source representation retained a universal advantage after transfer,A3,Recall@100,Development aggregate with no confirmatory interval,Compatibility analysis,Main figure
F06,Fusion controls,Does adding systems always help?,grouped_dot_plot,Two-system fusion helped selectively while larger fusion did not improve quality,A3,nDCG@100,Aggregate development evidence only,Fusion result,Main figure
F07,Adaptive search action diversity,Did nominal proposals create distinct executable behavior?,step_strip,All 12 proposals compiled to one executable action under the frozen action space,A3,distinct_action_count,Flat surface is a negative finding,Optimizer audit,Appendix figure
F08,Operating profile trade-off,Which profile balances quality speed cost and license?,frontier_plot,No profile dominates every quality and operational axis,A4,Recall@100,Quality-license-cost trade-off,Selection rationale,Main figure
F09,One-time selection comparisons,What evidence selected the research configuration?,forest_plot,The research profile exceeded balanced quality-oriented and speed profiles on paired Recall@100,A4,Recall@100 difference,95 percent bootstrap intervals shown for verified comparisons,Selection evidence,Main figure
F10,Final confirmation effect,Did the selected system retain an advantage on held-out data?,forest_plot,The complete research configuration exceeded the static comparator on Recall@100 and nDCG@100,A5,paired difference,95 percent bootstrap intervals exclude zero,System claim,Main figure
F11,Final confirmation operational trade-off,Was the confirmed system faster in every sense?,profile_comparison,Median latency and throughput improved but p99 latency worsened,A5,latency_and_throughput,Do not summarize as universally faster,Deployment caveat,Main figure
F12,Full-benchmark depth curve,How does recall change with candidate depth?,multi_line_chart,Recall rises with depth but strict cross-domain recall remains far below in-domain recall,A6,Recall@k,Scopes overlap at query level and use relation-scoped denominators,Scalability,Main figure
F13,Full-benchmark resource profile,What were the scale and resource requirements?,metric_cards,The complete benchmark was processed with 100 percent coverage and zero failures,A6,coverage_and_resources,Operational measurements are descriptive,Scale result,Appendix figure
F14,Candidate exposure anatomy,Is remaining error ranking or candidate generation?,stacked_bar,Most strict cross-domain relevant pairs were absent from the Top-200 pool,A7,relevant_pair_count,Counts are relation-scoped and not query counts,Diagnostic result,Main figure
F15,Within-pool ordering bound,How much can a perfect reranker recover?,paired_bar,Perfect ordering adds limited headroom and cannot recover absent candidates,A7,within_pool_headroom,Oracle is analytical and not an implemented reranker,Next-step motivation,Main figure
F16,Sensitivity and integrity checks,Did replay and self-relation sensitivity alter the diagnosis?,audit_table,Replay was exact and strict cross-domain metrics were unchanged in the sensitivity check,A7,metric_delta,Self-relation analysis is diagnostic only,Audit appendix,Appendix figure
F17,Evidence hierarchy,Which stages support which claims?,evidence_map,Development confirmation diagnosis and synthesis have distinct claim boundaries,A0-A8,evidence_class,Unsupported uses are explicit,Research rigor,Methods appendix
F18,Publication package status,What remains before journal submission?,status_cards,A8 is scientifically complete and submission-authorized while external upload had not occurred,A8,completion_status,Venue administration remains,Closing slide,Appendix figure
