u_id,tier,reason,verified_title,sha256,digest_path
U001,A,Direct patent retrieval/search/embedding benchmark evidence,PatentMatch: A Dataset for Matching Patent Claims & Prior Art,68dbc32b1cf5c86af2b0cf13da395c951387d4a038da14d1b928cd35f6a60583,01_evidence/literature/validated-digests/U001_patentmatch_digest.md
U002,A,Direct patent retrieval/search/embedding benchmark evidence,Prior Art Search and Reranking for Generated Patent Text,3a6ba1ba7f465ab3a10166780128e278dc4e928ec53683536963a37ec6642d42,01_evidence/literature/validated-digests/U002_prior_art_search_reranking_digest.md
U003,A,"Direct patent retrieval, ranking, or representation method",Artificial intelligence for patent prior art searching,260940c71aeaf5d091fdf06d5739a2ab7c84f39e47c454787e8a55fe672983c1,01_evidence/literature/validated-digests/U003_ai_patent_prior_art_digest.md
U004,A,"Direct patent retrieval, ranking, or representation method",Patent Prior Art Search using Deep Learning Language Model,bcb2a7726c342934f30893b66901720751e372131510364007cfde89e0b7289c,01_evidence/literature/validated-digests/U004_patent_prior_art_deep_learning_digest.md
U005,A,"Direct patent retrieval, ranking, or representation method",PatentSBERTa: A Deep NLP based Hybrid Model for Patent Distance and Classification using Augmented SBERT,fb0bb3f819a40a7e1ecd5c15aa714672902b491dfdd0a791dd399c50e943f668,01_evidence/literature/validated-digests/U005_patentsberta_digest.md
U006,A,Direct patent retrieval/search/embedding benchmark evidence,A Combination of BERT and BM25 for Patent Search,98273831c57582843ad23aa2d9ad4d3c977bcc94b93eecd286f5bc2ef75a343a,01_evidence/literature/validated-digests/U006_bert_bm25_combination_digest.md
U007,A,"Direct patent retrieval, ranking, or representation method",CoPatE: A Novel Contrastive Learning Framework for Patent Embeddings,210989901f720903067f41ad4b7d3c15c3467a2067076ccf65b422dab995dfe6,01_evidence/literature/validated-digests/U007_copate_contrastive_digest.md
U008,A,Direct patent retrieval/search/embedding benchmark evidence,SEARCHFORMER: Semantic patent embeddings by siamese transformers for prior art search,af7db61252ecccff373e728c84e406178183d80d3a3c1837e754cf7a9927ca16,01_evidence/literature/validated-digests/U008_searchformer_siamese_digest.md
U009,A,Direct patent retrieval/search/embedding benchmark evidence,PaECTER: Patent-level Representation Learning using Citation-informed Transformers,92f3e83d2cbf257acdd4efc6e46aad8c93610dbe4b89d303fe4c964c49d4436a,01_evidence/literature/validated-digests/U009_paecter_representation_learning_digest.md
U010,A,"Direct patent retrieval, ranking, or representation method",Enhancing the Patent Matching Capability of Large Language Models via the Memory Graph,a2d8cf145bb05db89268aaaf47c71c847d990330fa0621ba935bb0e25feb1f33,01_evidence/literature/validated-digests/U010_memgraph_patent_matching_digest.md
