u_id,verified_title,sha256,object_path,digest_path
U016,BMRETRIEVER: Tuning Large Language Models as Better Biomedical Text Retrievers,8107e656437557c6e93e76a5de26cd06d7d47cc99e35032c23f857988e66ebca,01_evidence/C-tier/U016_bmretriever_tuning_large_language_models_as_better_biomedical_text_retri.pdf,01_evidence/literature/validated-digests/U016_bmretriever_biomedical_digest.md
U028,Contrastive learning enhanced retrieval-augmented few-shot framework for multi-label patent classification,db1eb5909cf96c601252d732e7b95bd57556c48e1f0c0288cf25a4fd267a138d,01_evidence/C-tier/U028_contrastive_learning_enhanced_retrieval_augmented_few_shot_framework_for.pdf,01_evidence/literature/validated-digests/U028_contrastive_rag_fewshot_patent_classification_digest.md
U036,Towards Automated Patent Workflows: AI-Orchestrated Multi-Agent Framework for Intellectual Property Management and Analysis (PatExpert),6840dc1ed45a2865c72748a1779ecc427178acc4ff1a7a713d93c94ee2b48bf2,01_evidence/C-tier/U036_towards_automated_patent_workflows_ai_orchestrated_multi_agent_framework.pdf,01_evidence/literature/validated-digests/U036_patexpert_multiagent_patent_digest.md
U040,Mining patents with large language models elucidates the chemical function landscape,df93f5d3e50e9c77a91cca80d62dc5e7c3c5488b9756d9441f840e4d54b20796,01_evidence/C-tier/U040_mining_patents_with_large_language_models_elucidates_the_chemical_functi.pdf,01_evidence/literature/validated-digests/U040_mining_patents_llms_chemical_function_digest.md
U041,Natural Language Processing (NLP) tools for Pharmaceutical Manufacturing Information Extraction from Patents,f8dd4d60bd2ad79324d33e337a86fd6495c7253046f3bd8e4af8548250a79d33,01_evidence/C-tier/U041_natural_language_processing_nlp_tools_for_pharmaceutical_manufacturing_i.pdf,01_evidence/literature/validated-digests/U041_natural_language_processing_nlp_tools_for_pharmaceutical_manufacturing_i_digest.md
U042,Toward Knowledge-Based System for African Traditional Herbal Medicine using NLP,f902a1d9095819436505f85b44cac194ba3e86fc33a46ce02f83c0703e337b23,01_evidence/C-tier/U042_toward_knowledge_based_system_for_african_traditional_herbal_medicine_us.pdf,01_evidence/literature/validated-digests/U042_toward_knowledge_based_system_for_african_traditional_herbal_medicine_us_digest.md
U043,PatentSemTech 2024: Improving Patent Classification using AI-Generated Summaries,aaad3977aa6a3958e671df44232586b1f3f9a7383631c0c5ecbb21c83e20d097,01_evidence/C-tier/U043_patentsemtech_2024_improving_patent_classification_using_ai_generated_su.pdf,01_evidence/literature/validated-digests/U043_patentsemtech_2024_improving_patent_classification_using_ai_generated_su_digest.md
U062,Rank-DistiLLM cross-encoder distillation,4c8ff39e0748759e036f89ddf2549f1ed160c38964b832133ac56685450bd563,01_evidence/C-tier/U062_rank_distillm_cross_encoder_distillation.pdf,01_evidence/literature/validated-digests/U062_rank_distillm_cross_encoder_distillation_digest.md
U065,APE Automatic Prompt Engineer,b4162f38101db7511e6292a2577c66514c757824ddd21f8426a6276485355e81,01_evidence/C-tier/U065_ape_automatic_prompt_engineer.pdf,01_evidence/literature/validated-digests/U065_ape_automatic_prompt_engineer_digest.md
U070,POSIX: A Prompt Sensitivity Index For Large Language Models,5d0729622cd43ff6044f672aff054f231d35b87aed3ca3d6caa6a88af00e0170,01_evidence/C-tier/U070_posix_a_prompt_sensitivity_index_for_large_language_models.pdf,01_evidence/literature/validated-digests/U070_posix_a_prompt_sensitivity_index_for_large_language_models_digest.md
U072,Compound AI Systems Optimization: A Survey of Methods Challenges and Future Directions,a75c328d98903847e4cf199a5a0a1abfdb895031d5024532bcdb279d22696310,01_evidence/C-tier/U072_compound_ai_systems_optimization_a_survey_of_methods_challenges_and_futu.pdf,01_evidence/literature/validated-digests/U072_compound_ai_systems_optimization_a_survey_of_methods_challenges_and_futu_digest.md
U073,DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines,5309836325c3a580b6c176242f49f21ca40e413b0acd514e74b67e16bb1b56bc,01_evidence/C-tier/U073_dspy_compiling_declarative_language_model_calls_into_self_improving_pipe.pdf,01_evidence/literature/validated-digests/U073_dspy_compiling_declarative_language_model_calls_into_self_improving_pipe_digest.md
U079,PEEM: Prompt Engineering Evaluation Metrics for Interpretable Joint Evaluation of Prompts and Responses,36b5fe5554b131a2c80319efe7346aa3ceb9485f875b3cf2de9d5b0a709bf9a5,01_evidence/C-tier/U079_peem_prompt_engineering_evaluation_metrics_for_interpretable_joint_evalu.pdf,01_evidence/literature/validated-digests/U079_peem_prompt_engineering_evaluation_metrics_for_interpretable_joint_evalu_digest.md
U081,ResearchRubrics: A Benchmark of Prompts and Rubrics for Evaluating Deep Research Agents,8c2da4367453de7b13d4ef9c30ac3446b40abee8e5124699a0f5e8700380f223,01_evidence/C-tier/U081_researchrubrics_a_benchmark_of_prompts_and_rubrics_for_evaluating_deep_r.pdf,01_evidence/literature/validated-digests/U081_researchrubrics_a_benchmark_of_prompts_and_rubrics_for_evaluating_deep_r_digest.md
U091,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,01319e2e6e6ecfd504ee1bbda41d023f9e060bd3505ab3c161baa1d6d696cf75,01_evidence/C-tier/U091_raptor_recursive_abstractive_processing_for_tree_organized_retrieval.pdf,01_evidence/literature/validated-digests/U091_raptor_recursive_abstractive_processing_for_tree_organized_retrieval_digest.md
U098,Named Entity Recognition of Pharmacokinetic Parameters in Pharmaceutical Literature,06a33f3104e1514429cab38e9a410abea56f20728b3d5dd76c6b311864ba4910,01_evidence/C-tier/U098_named_entity_recognition_of_pharmacokinetic_parameters_in_pharmaceutical.pdf,01_evidence/literature/validated-digests/U098_named_entity_recognition_of_pharmacokinetic_parameters_in_pharmaceutical_digest.md
U112,Recent Advances in Named Entity Recognition: A Comprehensive Survey,c7b72d3f1d699da87ab65ead92a97c4bc0a97bc293f3611f9fbf6c57f3e2c398,01_evidence/C-tier/U112_recent_advances_in_named_entity_recognition_a_comprehensive_survey.pdf,01_evidence/literature/validated-digests/U112_recent_advances_in_named_entity_recognition_a_comprehensive_survey_digest.md
U116,Diverse Augmentation from Large Language Models to Smaller Models for Efficient Retrieval (ACL 2025),66223cee6c9baa0726af956d295ce9fc4c025d66280b4d367d840c9f89e1bfd2,01_evidence/C-tier/U116_diverse_augmentation_from_large_language_models_to_smaller_models_for_ef.pdf,01_evidence/literature/validated-digests/U116_diverse_augmentation_from_large_language_models_to_smaller_models_for_ef_digest.md
U120,Efficient Memory Management for Large Language Model Serving with PagedAttention,55b3b324d779a67c59dac2519445e3b07c14e6ff5c656fadb47a3d7b5997469e,01_evidence/C-tier/U120_efficient_memory_management_for_large_language_model_serving_with_pageda.pdf,01_evidence/literature/validated-digests/U120_efficient_memory_management_for_large_language_model_serving_with_pageda_digest.md
U121,AWQ: Activation-Aware Weight Quantization for On-Device LLM Compression and Acceleration,6e35c8fe7af1f18a5c48dd2524629d859a2013a91d4b3666b554705287a17764,01_evidence/C-tier/U121_awq_activation_aware_weight_quantization_for_on_device_llm_compression_a.pdf,01_evidence/literature/validated-digests/U121_awq_activation_aware_weight_quantization_for_on_device_llm_compression_a_digest.md
U122,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,6cc20b3c5b8d25b8b53868fc4ec1792c144f07d67bdf7395138efd4422197e7b,01_evidence/C-tier/U122_deepseekmath_pushing_the_limits_of_mathematical_reasoning_in_open_langua.pdf,01_evidence/literature/validated-digests/U122_deepseekmath_pushing_the_limits_of_mathematical_reasoning_in_open_langua_digest.md
U124,SeaLLMs: Large Language Models for Southeast Asia,33734dfa7a467bca725bcd9829bde98a6e88e72223d026cc78b35c61b1156896,01_evidence/C-tier/U124_seallms_large_language_models_for_southeast_asia.pdf,01_evidence/literature/validated-digests/U124_seallms_large_language_models_for_southeast_asia_digest.md
U125,SeaLLMs 3: Open Foundation Multilingual LLM,c4d3bf5d727d815a3498e2eee95022274bf8b60ee0703a8ac10f56f4d4b175d7,01_evidence/C-tier/U125_seallms_3_open_foundation_multilingual_llm.pdf,01_evidence/literature/validated-digests/U125_seallms_3_open_foundation_multilingual_llm_digest.md
U126,SEA-LION: Southeast Asian Languages in One Network,dab4619bd59320fd55b07efa58258447efaedd2059a6afb0a93a8a155cca1b56,01_evidence/C-tier/U126_sea_lion_southeast_asian_languages_in_one_network.pdf,01_evidence/literature/validated-digests/U126_sea_lion_southeast_asian_languages_in_one_network_digest.md
U127,AttaCut: A Fast and Accurate Neural Thai Word Segmenter,847942b6a9aea84ea7a7ce52153b6aeac222f4383d457d41a36a020c7b00876d,01_evidence/C-tier/U127_attacut_a_fast_and_accurate_neural_thai_word_segmenter.pdf,01_evidence/literature/validated-digests/U127_attacut_a_fast_and_accurate_neural_thai_word_segmenter_digest.md
U129,NeuCLIRBench: Modern Evaluation for Cross-Language IR,a376e80138afe1c3b55cc8e9c8834c37bd157ebbac3a301755ce30a16bf70543,01_evidence/C-tier/U129_neuclirbench_modern_evaluation_for_cross_language_ir.pdf,01_evidence/literature/validated-digests/U129_neuclirbench_modern_evaluation_for_cross_language_ir_digest.md
U141,"Survey of Tasks, Datasets, Models in Legal NLP",c1367879dd1b5265fa17ca71f311cc864e2899b49d7e8c44243bd1286e38bcfe,01_evidence/C-tier/U141_survey_of_tasks_datasets_models_in_legal_nlp.pdf,01_evidence/literature/validated-digests/U141_survey_of_tasks_datasets_models_in_legal_nlp_digest.md
U145,LegalBench: Measuring Legal Reasoning in LLMs,47a0759d5f5dfcc7516579c083ff5e44bfdd12164db86149f2fee8792d382122,01_evidence/C-tier/U145_legalbench_measuring_legal_reasoning_in_llms.pdf,01_evidence/literature/validated-digests/U145_legalbench_measuring_legal_reasoning_in_llms_digest.md
