unique_id,title,sha256,tier,digest_path,cache_path,experience_brain_match,matched_knowledge_id,recommended_ingestion_action,visual_check_blocker,eligible_for_ingestion,reason
U021,PatCID: an open-access dataset of chemical structures from patent images,4e90f27e6d8b72449c3a96b219ddf5efd743db5f0879c25907f379648ddbe5a7,C,digests/U021_patcid_chemical_structure_database_digest.md,extraction-cache/U021.md,no,,ingest_new,none,yes,"Domain-adjacent image-based chemical retrieval, not text prior-art retrieval; no EB match"
U022,Enhancing patent retrieval using automated patent summarization,c309ccb34e8c36b529c40b702a622900ef2042f1a6e092e33b1defad8adb2ddb,B,digests/U022_patent_retrieval_summarization_digest.md,extraction-cache/U022.md,no,,ingest_new,none,yes,"Real retrieval metrics (MAP@100/MAP@50) but single dense-only method, no family-level; no EB match"
U023,LLM-powered Real-time Patent Citation Recommendation,16fb7f9b2d7b8601931847b3d7683c4e4ab9f354d563014586e99b9eb933d768,B,digests/U023_llm_patent_citation_recommendation_digest.md,extraction-cache/U023.md,no,,ingest_new,none,yes,Real MRR/Recall@200 metrics but single-domain Chinese financial patents only; no EB match
U024,EvoPat: A Multi-LLM-Based Patents Summarization system,2594f2d877a4b65e08c6e2eb10612094ecff83a51a63696bc50a7e91b556c736,C,digests/U024_evopat_multi_llm_patent_summarization_digest.md,extraction-cache/U024.md,no,,ingest_new,none,yes,"Summarization automation, no retrieval/ranking metrics; no EB match"
U025,Deep learning for patent landscaping using transformer and graph embeddings,7788735721a8d0516cbbfc46d59d5236e484e57e001511497db09b241e7ad540,C,digests/U025_patent_landscaping_transformer_graph_digest.md,extraction-cache/U025.md,no,,ingest_new,none,yes,Binary classification not retrieval/ranking; no EB match
U026,MedCPT: Contrastive Pre-trained Transformers for biomedical IR,36375d5310c4ebee73a73453aba880a5babdedfe7ec2ca40c83ffed8f662b02f,B,digests/U026_medcpt_biomedical_ir_pubmed_logs_digest.md,extraction-cache/U026.md,no,,ingest_new,none,yes,"Real NDCG@10 SOTA metrics but biomedical (not patent) domain, no family aggregation; no EB match"
U027,Efficient Patent Searching Using Graph Transformers,5924910b08d56a638904285d6ec44a2f2490c0704ed57bfd694e086863ef893e,B,digests/U027_graph_transformer_patent_search_digest.md,extraction-cache/U027.md,no,,ingest_new,none,yes,"Real Recall@3 patent metrics but proprietary non-reproducible test set, no domain-split; no EB match"
U028,Contrastive learning enhanced RAG few-shot for multi-label patent classification,db1eb5909cf96c601252d732e7b95bd57556c48e1f0c0288cf25a4fd267a138d,C,digests/U028_contrastive_rag_fewshot_patent_classification_digest.md,extraction-cache/U028.md,no,,ingest_new,none,yes,Multi-label classification not retrieval; no EB match
U029,CLEF-IP 2011: Retrieval in the Intellectual Property Domain,c2e600a8d73153f81716fceabe391739444a32cc156379dbe66e17f50d74b662,B,digests/U029_clef_ip_2011_retrieval_digest.md,extraction-cache/U029.md,no,,ingest_new,none,yes,Lab-overview benchmark report; headline PAC/CLS metrics non-extractable (bar charts only); no EB match
U030,CLEF-IP 2012: Retrieval Experiments in the Intellectual Property Domain,43f35981d827f6c1118c11fc8f4aa97f964e40c8df223b8876f5d6550e5d0c07,B,digests/U030_clef_ip_2012_retrieval_digest.md,extraction-cache/U030.md,no,,ingest_new,none,yes,Lab-overview benchmark; PAC/flowchart retrieval metrics not available at time of writing; chemical-structure sub-task numbers clean; no EB match
U031,Report on CLEF-IP 2011 Evaluation Lab,801f9f44e5e6a3f97f63a9dc2e7f74650250ee68ca6a51a42ac81f0abb25394a,B,digests/U031_clef_ip_2011_pattextiling_digest.md,extraction-cache/U031.md,no,,ingest_new,none,yes,"CLEF-IP 2011 PAC-task participant report, real extractable metrics but single-institution ablation and low absolute performance; no EB match"
U032,A Comparative Analysis of Embedding Models for Patent Similarity,83e960fef77fcdbff639a21a425095f0f99b6620b48fa7a886170654d602915f,B,digests/U032_embedding_models_patent_similarity_digest.md,extraction-cache/U032.md,no,,ingest_new,none,yes,"Real quantitative similarity-correctness results but small eval set (133 pairs), not Recall@k/MAP style; no EB match"
U033,A Survey on Automated and AI-Assisted Patent Prior Art Search,ee11448b455dc4fdac09e95d6f476472ef8ad067318715164e5e40e3d620aead,A,digests/U033_survey_automated_ai_patent_retrieval_digest.md,extraction-cache/U033.md,no,,ingest_new,none,yes,"Comprehensive 2026 life-sciences-focused survey with formal metric definitions, taxonomy, cross-references U021; no EB match"
U034,A Survey on Patent Analysis from NLP Perspectives,94b2ef789464ff2c35599f0cc8399d4710dc8697317fc068723f9841f1676f17,A,digests/U034_survey_patent_analysis_nlp_multimodal_digest.md,extraction-cache/U034.md,no,,ingest_new,none,yes,"Comprehensive 2024 patent-analysis survey with 4-task taxonomy, cross-references U018; no EB match"
U035,BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of IR Models,682da185b92b4d04f906de2a59f4b5152c1a1f15433cc7da812d1f522756c1bc,A,digests/U035_beir_heterogeneous_benchmark_digest.md,extraction-cache/U035.md,no,,ingest_new,none,yes,"Canonical general-domain zero-shot IR benchmark, fully extractable metrics, biomedical subset overlaps U026; no EB match"
U036,Towards Automated Patent Workflows: PatExpert multi-agent framework,6840dc1ed45a2865c72748a1779ecc427178acc4ff1a7a713d93c94ee2b48bf2,C,digests/U036_patexpert_multiagent_patent_digest.md,extraction-cache/U036.md,no,,ingest_new,none,yes,"Multi-agent analysis/summarization, no retrieval/ranking metrics, fine-tuned-vs-zero-shot baseline asymmetry; no EB match"
U037,ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction,62d6558f515ef6a62dfb3047f8d79262613c7f13503cdf74d048804e17a6de93,A,digests/U037_colbertv2_late_interaction_digest.md,extraction-cache/U037.md,no,,ingest_new,none,yes,"Canonical late-interaction retrieval architecture, fully extractable metrics across 28 datasets, already a baseline in U020/U035; no EB match"
U038,H-ProtoRAG: hierarchical prototype-based RAG for multilingual CPC classification and prior-art retrieval,ab0a43419308ca9b3b4400888c56daaa81b3c5b9e459af35da20bb10edb434f2,A,digests/U038_h_protorag_hierarchical_prototype_digest.md,extraction-cache/U038.md,no,,ingest_new,none,yes,Primarily CPC classification but with genuine CLEF-IP 2010 retrieval component and rigorous controlled ablations; no EB match
U039,FullRecall: A Semantic Search-Based Ranking Approach for Maximizing Recall in Patent Retrieval,1a7441812abe43487ecc4b5995dc998c4d97aa3ed39ea9726e2dc263ef60b8c7,B,digests/U039_fullrecall_semantic_search_ranking_digest.md,extraction-cache/U039.md,no,,ingest_new,none,yes,"Real 100% recall claim vs 2 baselines but only n=5 query patents, no Precision/MAP/NDCG, asymmetric baseline-comparison protocol flagged; no EB match"
