u_id,verified_title,sha256,object_path,digest_path
U020,Zero-shot Hybrid Retrieval and Reranking Models for Biomedical Literature,9bd2b1f5eea98637de9ff49bd810b49be774502bd9732bf2b74a0c27404a6458,01_evidence/B-tier/U020_zero_shot_hybrid_retrieval_and_reranking_models_for_biomedical_literatur.pdf,01_evidence/literature/validated-digests/U020_zeroshot_hybrid_retrieval_rerank_digest.md
U026,MedCPT: Contrastive Pre-trained Transformers with Large-scale PubMed Search Logs for Zero-shot Biomedical Information Retrieval,36375d5310c4ebee73a73453aba880a5babdedfe7ec2ca40c83ffed8f662b02f,01_evidence/B-tier/U026_medcpt_contrastive_pre_trained_transformers_with_large_scale_pubmed_sear.pdf,01_evidence/literature/validated-digests/U026_medcpt_biomedical_ir_pubmed_logs_digest.md
U027,Efficient Patent Searching Using Graph Transformers,5924910b08d56a638904285d6ec44a2f2490c0704ed57bfd694e086863ef893e,01_evidence/B-tier/U027_efficient_patent_searching_using_graph_transformers.pdf,01_evidence/literature/validated-digests/U027_graph_transformer_patent_search_digest.md
U029,CLEF-IP 2011: Retrieval in the Intellectual Property Domain,c2e600a8d73153f81716fceabe391739444a32cc156379dbe66e17f50d74b662,01_evidence/B-tier/U029_clef_ip_2011_retrieval_in_the_intellectual_property_domain.pdf,01_evidence/literature/validated-digests/U029_clef_ip_2011_retrieval_digest.md
U030,CLEF-IP 2012: Retrieval Experiments in the Intellectual Property Domain,43f35981d827f6c1118c11fc8f4aa97f964e40c8df223b8876f5d6550e5d0c07,01_evidence/B-tier/U030_clef_ip_2012_retrieval_experiments_in_the_intellectual_property_domain.pdf,01_evidence/literature/validated-digests/U030_clef_ip_2012_retrieval_digest.md
U031,Report on the CLEF-IP 2011 Experiments: Exploring Patent Summarization,801f9f44e5e6a3f97f63a9dc2e7f74650250ee68ca6a51a42ac81f0abb25394a,01_evidence/B-tier/U031_report_on_the_clef_ip_2011_experiments_exploring_patent_summarization.pdf,01_evidence/literature/validated-digests/U031_clef_ip_2011_pattextiling_digest.md
U032,A comparative analysis of embedding models for patent similarity,83e960fef77fcdbff639a21a425095f0f99b6620b48fa7a886170654d602915f,01_evidence/B-tier/U032_a_comparative_analysis_of_embedding_models_for_patent_similarity.pdf,01_evidence/literature/validated-digests/U032_embedding_models_patent_similarity_digest.md
U039,FullRecall: A Semantic Search-Based Ranking Approach for Maximizing Recall in Patent Retrieval,1a7441812abe43487ecc4b5995dc998c4d97aa3ed39ea9726e2dc263ef60b8c7,01_evidence/B-tier/U039_fullrecall_a_semantic_search_based_ranking_approach_for_maximizing_recal.pdf,01_evidence/literature/validated-digests/U039_fullrecall_semantic_search_ranking_digest.md
U052,Standard Applicability Judgment and Cross-jurisdictional Reasoning: A RAG-based Framework for Medical Device Compliance,ddac13574791a286a2685fe68b41c207638c376201a54e9598e73068fd3978ee,01_evidence/B-tier/U052_standard_applicability_judgment_and_cross_jurisdictional_reasoning_a_rag.pdf,01_evidence/literature/validated-digests/U052_standard_applicability_judgment_and_cross_jurisdictional_reasoning_a_rag_digest.md
U055,Improving Retrieval-Augmented Generation in Medicine with Iterative Follow-up Questions,ea18b753e00420d66f1a26c6d2b372f6dc542a695d6206a383b8fe2f379c60a8,01_evidence/B-tier/U055_improving_retrieval_augmented_generation_in_medicine_with_iterative_foll.pdf,01_evidence/literature/validated-digests/U055_improving_retrieval_augmented_generation_in_medicine_with_iterative_foll_digest.md
U059,Is ChatGPT Good at Search? Investigating Large Language Models as Re-Ranking Agents,3a2ca388b4a2fb17e58551f1a77b2c7decbbf6767255382cfa2d9e435c7a7e70,01_evidence/B-tier/U059_is_chatgpt_good_at_search_investigating_large_language_models_as_re_rank.pdf,01_evidence/literature/validated-digests/U059_is_chatgpt_good_at_search_investigating_large_language_models_as_re_rank_digest.md
U060,RankZephyr: Effective and Robust Zero-Shot Listwise Reranking is a Breeze!,aa198a0df997f39ecd064670ed17f62b22fc567502890832ba1206de99be464b,01_evidence/B-tier/U060_rankzephyr_effective_and_robust_zero_shot_listwise_reranking_is_a_breeze.pdf,01_evidence/literature/validated-digests/U060_rankzephyr_effective_and_robust_zero_shot_listwise_reranking_is_a_breeze_digest.md
U061,FIRST faster listwise reranking with single token decoding,fca02e77ff691f6de93cc21bfd5dfc56ea925b73c25f3e8dee50a1b67df67296,01_evidence/B-tier/U061_first_faster_listwise_reranking_with_single_token_decoding.pdf,01_evidence/literature/validated-digests/U061_first_faster_listwise_reranking_with_single_token_decoding_digest.md
U063,Rank-without-GPT: Building GPT-Independent Listwise Rerankers on Open-Source Large Language Models,9edc0971af4f8fb32f06604ce95da556d36bdc1074a04801e0a6748ee292d304,01_evidence/B-tier/U063_rank_without_gpt_building_gpt_independent_listwise_rerankers_on_open_sou.pdf,01_evidence/literature/validated-digests/U063_rank_without_gpt_building_gpt_independent_listwise_rerankers_on_open_sou_digest.md
U064,Guiding Retrieval with LLM Listwise Rankers,8defa5deb51e7f0adaa7d7fee920c47671e5f88163ff6513616f91b2deaf59a9,01_evidence/B-tier/U064_guiding_retrieval_with_llm_listwise_rankers.pdf,01_evidence/literature/validated-digests/U064_guiding_retrieval_with_llm_listwise_rankers_digest.md
U071,OPTIMAS: Optimizing Compound AI Systems with Globally Aligned Local Rewards,2cb380e7918e990a19a32f9b6adcba46d8b2ba98987c2844edfba6e11e9fc744,01_evidence/B-tier/U071_optimas_optimizing_compound_ai_systems_with_globally_aligned_local_rewar.pdf,01_evidence/literature/validated-digests/U071_optimas_optimizing_compound_ai_systems_with_globally_aligned_local_rewar_digest.md
U074,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,c69aa191d8363c25b36685db4adb7e6980e55ee39892fd3626206c16e1e0efa1,01_evidence/B-tier/U074_a_gentle_introduction_to_conformal_prediction_and_distribution_free_unce.pdf,01_evidence/literature/validated-digests/U074_a_gentle_introduction_to_conformal_prediction_and_distribution_free_unce_digest.md
U075,Algorithmic Learning in a Random World,e6d0a764d05784804733bad0c1a98e2e4bb01c693e335ddd3256c45497f30b42,01_evidence/B-tier/U075_algorithmic_learning_in_a_random_world.pdf,01_evidence/literature/validated-digests/U075_algorithmic_learning_in_a_random_world_digest.md
