u_id,legacy_path,expected_title_from_alias,verified_title,title_source,title_token_overlap,identity_status,doi,doi_source,doi_confidence,arxiv_id,arxiv_source,arxiv_confidence
U001,research/ref-paper/is1/pdfs/01_patentmatch_a_dataset_for_matching_patent_2020.pdf,patentmatch a dataset for matching patent,PatentMatch: A Dataset for Matching Patent Claims & Prior Art,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,2012.13919,acquisition_url,high
U002,research/ref-paper/is1/pdfs/02_prior_art_search_and_reranking_for_2021.pdf,prior art search and reranking for,Prior Art Search and Reranking for Generated Patent Text,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,2009.09132,acquisition_url,high
U003,research/ref-paper/is1/pdfs/03_artificial_intelligence_for_patent_prior_art_2021.pdf,artificial intelligence for patent prior art,Artificial intelligence for patent prior art searching,frozen_digest_verified_against_pdf,1.0000,verified,10.1016/j.wpi.2021.102021,acquisition_url,high,,,not_detected
U004,research/ref-paper/is1/pdfs/04_patent_prior_art_search_using_deep_2020.pdf,patent prior art search using deep,Patent Prior Art Search using Deep Learning Language Model,frozen_digest_verified_against_pdf,1.0000,verified,10.1145/3410566.3410597,acquisition_url,high,,,not_detected
U005,research/ref-paper/is1/pdfs/05_patentsberta_a_deep_nlp_hybrid_model_2021.pdf,patentsberta a deep nlp hybrid model,PatentSBERTa: A Deep NLP based Hybrid Model for Patent Distance and Classification using Augmented SBERT,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,2103.11933,acquisition_url,high
U006,research/ref-paper/is1/pdfs/06_a_combination_of_bert_and_bm25_2022.pdf,a combination of bert and bm25,A Combination of BERT and BM25 for Patent Search,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,,,not_detected
U007,research/ref-paper/is1/pdfs/07_copate_a_novel_contrastive_learning_framework_2022.pdf,copate a novel contrastive learning framework,CoPatE: A Novel Contrastive Learning Framework for Patent Embeddings,frozen_digest_verified_against_pdf,1.0000,verified,10.1145/3511808.3557270,acquisition_url,high,,,not_detected
U008,research/ref-paper/is1/pdfs/08_searchformer_semantic_patent_embeddings_by_siamese_2023.pdf,searchformer semantic patent embeddings by siamese,SEARCHFORMER: Semantic patent embeddings by siamese transformers for prior art search,frozen_digest_verified_against_pdf,1.0000,verified,10.1016/j.wpi.2023.102192,acquisition_url,high,,,not_detected
U009,research/ref-paper/is1/pdfs/09_paecter_patent_level_representation_learning_using_2024.pdf,paecter patent level representation learning using,PaECTER: Patent-level Representation Learning using Citation-informed Transformers,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,2402.19411,acquisition_url,high
U010,research/ref-paper/is1/pdfs/10_memgraph_enhancing_patent_matching_capability_of_2025.pdf,memgraph enhancing patent matching capability of,Enhancing the Patent Matching Capability of Large Language Models via the Memory Graph,frozen_digest_verified_against_pdf,0.8000,verified,,,not_detected,2504.14845,acquisition_url,high
