u_id,sha256,size_bytes,collection,record_type,verified_title,title_source,identity_status,title_token_overlap,doi,doi_source,doi_confidence,arxiv_id,arxiv_source,arxiv_confidence,page_count,tier,source_url,acquired_from,legacy_primary_alias,object_path,digest_path
U001,68dbc32b1cf5c86af2b0cf13da395c951387d4a038da14d1b928cd35f6a60583,580951,is1,paper,PatentMatch: A Dataset for Matching Patent Claims & Prior Art,frozen_digest_verified_against_pdf,verified,1.0000,,,not_detected,2012.13919,acquisition_url,high,5,A,https://arxiv.org/abs/2012.13919,https://arxiv.org/pdf/2012.13919,research/ref-paper/is1/pdfs/01_patentmatch_a_dataset_for_matching_patent_2020.pdf,01_evidence/A-tier/U001_patentmatch_a_dataset_for_matching_patent_claims_prior_art.pdf,01_evidence/literature/validated-digests/U001_patentmatch_digest.md
U002,3a6ba1ba7f465ab3a10166780128e278dc4e928ec53683536963a37ec6642d42,1079264,is1,paper,Prior Art Search and Reranking for Generated Patent Text,frozen_digest_verified_against_pdf,verified,1.0000,,,not_detected,2009.09132,acquisition_url,high,7,A,https://arxiv.org/abs/2009.09132,https://arxiv.org/pdf/2009.09132,research/ref-paper/is1/pdfs/02_prior_art_search_and_reranking_for_2021.pdf,01_evidence/A-tier/U002_prior_art_search_and_reranking_for_generated_patent_text.pdf,01_evidence/literature/validated-digests/U002_prior_art_search_reranking_digest.md
U003,260940c71aeaf5d091fdf06d5739a2ab7c84f39e47c454787e8a55fe672983c1,5220231,is1,paper,Artificial intelligence for patent prior art searching,frozen_digest_verified_against_pdf,verified,1.0000,10.1016/j.wpi.2021.102021,acquisition_url,high,,,not_detected,12,A,https://doi.org/10.1016/j.wpi.2021.102021,human-provided:1-s2.0-S017221902100003X-main.pdf,research/ref-paper/is1/pdfs/03_artificial_intelligence_for_patent_prior_art_2021.pdf,01_evidence/A-tier/U003_artificial_intelligence_for_patent_prior_art_searching.pdf,01_evidence/literature/validated-digests/U003_ai_patent_prior_art_digest.md
U004,bcb2a7726c342934f30893b66901720751e372131510364007cfde89e0b7289c,6836250,is1,paper,Patent Prior Art Search using Deep Learning Language Model,frozen_digest_verified_against_pdf,verified,0.8000,10.1145/3410566.3410597,acquisition_url,high,,,not_detected,5,A,https://doi.org/10.1145/3410566.3410597,human-provided:3410566.3410597.pdf,research/ref-paper/is1/pdfs/04_patent_prior_art_search_using_deep_2020.pdf,01_evidence/A-tier/U004_patent_prior_art_search_using_deep_learning_language_model.pdf,01_evidence/literature/validated-digests/U004_patent_prior_art_deep_learning_digest.md
U005,fb0bb3f819a40a7e1ecd5c15aa714672902b491dfdd0a791dd399c50e943f668,849353,is1,paper,PatentSBERTa: A Deep NLP based Hybrid Model for Patent Distance and Classification using Augmented SBERT,frozen_digest_verified_against_pdf,verified,1.0000,,,not_detected,2103.11933,acquisition_url,high,20,A,https://arxiv.org/abs/2103.11933,https://arxiv.org/pdf/2103.11933,research/ref-paper/is1/pdfs/05_patentsberta_a_deep_nlp_hybrid_model_2021.pdf,01_evidence/A-tier/U005_patentsberta_a_deep_nlp_based_hybrid_model_for_patent_distance_and_class.pdf,01_evidence/literature/validated-digests/U005_patentsberta_digest.md
U006,98273831c57582843ad23aa2d9ad4d3c977bcc94b93eecd286f5bc2ef75a343a,494353,is1,paper,A Combination of BERT and BM25 for Patent Search,frozen_digest_verified_against_pdf,verified,0.8333,,,not_detected,,,not_detected,14,A,https://www.ifs.tuwien.ac.at/patentsemtech/2022/,https://www.ifs.tuwien.ac.at/patentsemtech/2022/fls/VASILIOS%20A_combination_of_BERT%26BM25.pdf,research/ref-paper/is1/pdfs/06_a_combination_of_bert_and_bm25_2022.pdf,01_evidence/A-tier/U006_a_combination_of_bert_and_bm25_for_patent_search.pdf,01_evidence/literature/validated-digests/U006_bert_bm25_combination_digest.md
U007,210989901f720903067f41ad4b7d3c15c3467a2067076ccf65b422dab995dfe6,1644437,is1,paper,CoPatE: A Novel Contrastive Learning Framework for Patent Embeddings,frozen_digest_verified_against_pdf,verified,1.0000,10.1145/3511808.3557270,acquisition_url,high,,,not_detected,10,A,https://doi.org/10.1145/3511808.3557270,human-provided:3511808.3557270.pdf,research/ref-paper/is1/pdfs/07_copate_a_novel_contrastive_learning_framework_2022.pdf,01_evidence/A-tier/U007_copate_a_novel_contrastive_learning_framework_for_patent_embeddings.pdf,01_evidence/literature/validated-digests/U007_copate_contrastive_digest.md
U008,af7db61252ecccff373e728c84e406178183d80d3a3c1837e754cf7a9927ca16,2496651,is1,paper,SEARCHFORMER: Semantic patent embeddings by siamese transformers for prior art search,frozen_digest_verified_against_pdf,verified,1.0000,10.1016/j.wpi.2023.102192,acquisition_url,high,,,not_detected,16,A,https://doi.org/10.1016/j.wpi.2023.102192,human-provided:1-s2.0-S0172219023000224-main.pdf,research/ref-paper/is1/pdfs/08_searchformer_semantic_patent_embeddings_by_siamese_2023.pdf,01_evidence/A-tier/U008_searchformer_semantic_patent_embeddings_by_siamese_transformers_for_prio.pdf,01_evidence/literature/validated-digests/U008_searchformer_siamese_digest.md
U009,92f3e83d2cbf257acdd4efc6e46aad8c93610dbe4b89d303fe4c964c49d4436a,717453,is1,paper,PaECTER: Patent-level Representation Learning using Citation-informed Transformers,frozen_digest_verified_against_pdf,verified,1.0000,,,not_detected,2402.19411,acquisition_url,high,9,A,https://arxiv.org/abs/2402.19411,https://arxiv.org/pdf/2402.19411,research/ref-paper/is1/pdfs/09_paecter_patent_level_representation_learning_using_2024.pdf,01_evidence/A-tier/U009_paecter_patent_level_representation_learning_using_citation_informed_tra.pdf,01_evidence/literature/validated-digests/U009_paecter_representation_learning_digest.md
U010,a2d8cf145bb05db89268aaaf47c71c847d990330fa0621ba935bb0e25feb1f33,1163105,is1,paper,Enhancing the Patent Matching Capability of Large Language Models via the Memory Graph,frozen_digest_verified_against_pdf,verified,0.7500,,,not_detected,2504.14845,acquisition_url,high,11,A,https://arxiv.org/abs/2504.14845,https://arxiv.org/pdf/2504.14845,research/ref-paper/is1/pdfs/10_memgraph_enhancing_patent_matching_capability_of_2025.pdf,01_evidence/A-tier/U010_enhancing_the_patent_matching_capability_of_large_language_models_via_th.pdf,01_evidence/literature/validated-digests/U010_memgraph_patent_matching_digest.md
