claim_id,manuscript_claim,evidence,evidence_class,denominator_aggregation_boundary
C01,"One frozen dense system was compared once with BM25 on 872 held-out OUT queries","01_Research/control/armindex/a5/final-r03-20260822/A5_FINAL_OWNER_EVALUATION.json;A5_FINAL_RESULT_INTEGRITY_AUDIT.json",confirmatory,"872 queries; one final access; aggregate-safe only"
C02,"Dense versus BM25 Recall@100 was 0.442476 versus 0.331097 (delta +0.111379; 95% CI [0.102294,0.120438]); nDCG@100 was 0.365595 versus 0.279253 (delta +0.086342; 95% CI [0.078673,0.094077])","01_Research/control/armindex/a5/final-r03-20260822/A5_FINAL_OWNER_EVALUATION.json:systems,paired_effects",confirmatory,"Macro means over Final-872 OUT queries; paired percentile bootstrap; 10000 resamples"
C03,"The frozen system materialized 45336 documents into a deterministic 1247-query family Top-200 pool with 249400 rows","01_Research/control/armindex/a6/a6-result-integrity-audit-20260823.json:coverage",post-confirmatory materialization,"Complete DAPFAM run; no winner change; aggregate-safe"
C04,"Complete-scale Recall@100 was 0.528164 IN and 0.188450 OUT","01_Research/control/armindex/a6/a6-result-integrity-audit-20260823.json:aggregate_metrics",post-confirmatory measurement,"Receipt-defined strata; 1217 IN and 905 OUT judged queries; strata are not additive"
C05,"Of 5193 OUT relevant-family incidences, 796 were exposed by rank 100, 332 first appeared at ranks 101-200, and 4065 were absent at rank 200","01_Research/outputs/publication/armindex/a7-seven-layer-diagnosis/a7-goal001-20260823T093525Z-cpu02/a7-layer-aggregate-metrics.csv:A7-L6-OUT",post-confirmatory diagnosis,"Raw incidence counts; mutually exclusive states; not macro-Recall components"
C06,"Within the same OUT Top-200 pool, observed macro Recall@100 was 0.188450 and the fixed-pool oracle was 0.260167, for 0.071717 ordering headroom","01_Research/outputs/publication/armindex/a7-seven-layer-diagnosis/a7-goal001-20260823T093525Z-cpu02/a7-layer-aggregate-metrics.csv:A7-L7-OUT",analytical bound,"Macro mean over 905 OUT queries; no pool expansion; not a reranker result"
C07,"A6 and A7 used zero selection/final accesses and did not reopen model selection","01_Research/control/armindex/a6/a6-result-integrity-audit-20260823.json:boundary_checks;01_Research/control/armindex/a7/a7-result-integrity-audit-20260823.json:boundary_checks",governance boundary,"Post-confirmatory frozen pool only"
C08,"No external protocol comparison, causal attribution, reranker efficacy, pool-expansion efficacy, or external generalization is claimed","01_Research/control/armindex/a7/a7-result-integrity-audit-20260823.json:result_checks,claim_boundary",claim boundary,"External configuration not fully verified; descriptive diagnosis only"
C09,"A4 froze four finalists, used one complete Selection-125 access with OUT metric denominator n=90, and used zero final accesses","01_Research/control/armindex/a4/a4-selection-125-population-accounting-audit-20260823.json;04_Owner_Stores/armindex/a4/a4-goal001-20260821T071350Z-sel01/selection-registry.json",selection lineage,"Selection-125 exposure and coverage; OUT metric denominator n=90; aggregate-safe only"
C10,"Six preregistered A4 pairwise comparisons used 10000 bootstrap resamples, Holm-Bonferroni correction, and a predeclared lexicographic selection rule","04_Owner_Stores/armindex/a4/a4-goal001-20260821T071350Z-sel01/selection-registry.json;04_Owner_Stores/armindex/a4/a4-goal001-20260821T071350Z-sel01/selection-receipt.json;01_Research/docs/research/ARMINDEX_RESEARCH_PLAN_V02.md",selection protocol,"Primary OUT Recall@100; declared near-tie thresholds and operational tie-breakers"
C11,"Selection-125 and Final-872 were separate frozen scopes under the same parent split commitment","01_Research/control/armindex/a4/a4-selection-125-population-accounting-audit-20260823.json;01_Research/control/armindex/a5/final-r03-20260822/A5_FINAL_RESULT_INTEGRITY_AUDIT.json",governance boundary,"No membership, protected identifier, or unverified disjointness claim"
C12,"The A5 winner configuration, A6 model manifest, and A6 execution configuration were SHA-256 bound","04_Owner_Stores/armindex/a6/a6-goal001-20260823T052423Z-full09/A6_MODEL_MANIFEST.json;01_Research/control/armindex/a5/final-r03-20260822/A5_FINAL_RESULT_INTEGRITY_AUDIT.json;paper_02/provenance/release-manifest-isainlp2026.json",configuration binding,"Full hashes retained in the protected ledger and release manifest; prefixes reported in manuscript"
C13,"Of 905 OUT queries, 67 had all relevant families exposed by rank 100, 297 had some exposed by rank 100, 86 first exposed a relevant family at ranks 101-200, and 455 had none exposed by rank 200","01_Research/outputs/publication/armindex/a7-seven-layer-diagnosis/a7-goal001-20260823T093525Z-cpu02/a7-layer-aggregate-metrics.csv:A7-L6-OUT.aggregate_query_classes",post-confirmatory diagnosis,"Mutually exclusive query classes summing to 905; distinct from relevant-family incidences and macro Recall"
C14,"Removing 40 raw self-relations left OUT Recall@100 and nDCG@100 unchanged at 0.188450 and 0.070644","01_Research/outputs/publication/armindex/a7-seven-layer-diagnosis/a7-goal001-20260823T093525Z-cpu02/a7-diagnosis-receipt.json:A7-L2_family_relevance_integrity.self_match_sensitivity",descriptive sensitivity,"No protected split membership inspected; not a broader leakage audit"
