unique_id,title,sha256,tier,digest_path,cache_path,experience_brain_match,matched_knowledge_id,recommended_ingestion_action,visual_check_blocker,eligible_for_ingestion,reason
U001,"PatentMatch: A Dataset for Matching Patent Claims & Prior Art",68dbc32b1cf5c86af2b0cf13da395c951387d4a038da14d1b928cd35f6a60583,A,digests/U001_patentmatch_digest.md,extraction-cache/U001.md,no,,ingest_new,no,yes,"completed; hash verified; content audit vs source PDF confirmed correct dataset stats (6.26M samples etc.); YAML frontmatter added"
U002,"Prior Art Search and Reranking for Generated Patent Text",3a6ba1ba7f465ab3a10166780128e278dc4e928ec53683536963a37ec6642d42,A,digests/U002_prior_art_search_reranking_digest.md,extraction-cache/U002.md,no,,ingest_new,no,yes,"completed; hash verified; content audit vs source PDF confirmed BM25+BERT rerank characterization correct; YAML frontmatter added"
U003,"Artificial Intelligence for Patent Prior Art Searching",260940c71aeaf5d091fdf06d5739a2ab7c84f39e47c454787e8a55fe672983c1,A,digests/U003_ai_patent_prior_art_digest.md,extraction-cache/U003.md,no,,ingest_new,no,yes,"completed; hash verified; no conflict; no blocker"
U004,"Patent Prior Art Search Using Deep Learning",bcb2a7726c342934f30893b66901720751e372131510364007cfde89e0b7289c,B,digests/U004_patent_prior_art_deep_learning_digest.md,extraction-cache/U004.md,no,,ingest_new,no,yes,"completed; hash verified; Table 1 flag non-blocking (in-text recall reliable)"
U005,"PatentSBERTa: A Deep NLP Hybrid Model for Patent Distance & Classification",fb0bb3f819a40a7e1ecd5c15aa714672902b491dfdd0a791dd399c50e943f668,A,digests/U005_patentsberta_digest.md,extraction-cache/U005.md,no,,ingest_new,no,yes,"completed; hash verified; Table 3 flag non-blocking (in-text cosine reliable)"
U006,"A Combination of BERT and BM25 for Patent Search",98273831c57582843ad23aa2d9ad4d3c977bcc94b93eecd286f5bc2ef75a343a,A,digests/U006_bert_bm25_combination_digest.md,extraction-cache/U006.md,no,,ingest_new,no,yes,"completed; hash verified; slide-deck flag non-blocking (headline deltas only; U069 for rigor)"
U007,"CoPatE: A Novel Contrastive Learning Framework for Patent Embeddings",210989901f720903067f41ad4b7d3c15c3467a2067076ccf65b422dab995dfe6,A,digests/U007_copate_contrastive_digest.md,extraction-cache/U007.md,no,,ingest_new,no,yes,"completed; hash verified; Tables 7-8 flag non-blocking (prose RFR reliable)"
U008,"SEARCHFORMER: Semantic Patent Embeddings by Siamese Transformers",af7db61252ecccff373e728c84e406178183d80d3a3c1837e754cf7a9927ca16,A,digests/U008_searchformer_siamese_digest.md,extraction-cache/U008.md,no,,ingest_new,no,yes,"completed; hash verified; Table 2/3 flag non-blocking (row-order + prose cross-checked)"
U009,"PAECTER: Patent-Level Representation Learning",92f3e83d2cbf257acdd4efc6e46aad8c93610dbe4b89d303fe4c964c49d4436a,A,digests/U009_paecter_representation_learning_digest.md,extraction-cache/U009.md,yes,KNO-92F3E83D2CBF,link_existing,no,no,"already in EB as KNO-92F3E83D2CBF; link_existing (attach digest layer); do NOT re-ingest PDF"
U010,"MemGraph: Enhancing Patent Matching Capability of LLMs",a2d8cf145bb05db89268aaaf47c71c847d990330fa0621ba935bb0e25feb1f33,A,digests/U010_memgraph_patent_matching_digest.md,extraction-cache/U010.md,no,,ingest_new,no,yes,"completed; hash verified; PatentMatch name-collision noted (non-blocking); Table 3 flag non-blocking"
U011,"DAPFAM: A Domain-Aware Family-Level Dataset",384dff3e3ac0fe6d2064572bb0322ef4b059c82fcbd703e680a3b524e7120c27,A,digests/U011_dapfam_digest.md,extraction-cache/U011.md,yes,KNO-384DFF3E3AC0,link_existing,no,no,"already in EB as KNO-384DFF3E3AC0; link_existing; do NOT re-ingest PDF"
U012,"PatenTEB: A Comprehensive Benchmark and Model Family for Patent Text",528a290ea2e479ed72d377c0fb4d5e762feaf4c5a233dc62464dfc5c11358f85,A,digests/U012_patenteb_digest.md,extraction-cache/U012.md,yes,KNO-528A290EA2E4,link_existing,no,no,"already in EB as KNO-528A290EA2E4; link_existing; do NOT re-ingest PDF"
U013,"Patent Representation Learning via Self-Supervision",39aacd435c9acc78a744b6e818b142e5ff76cd2ab40fedf8ac371da6891d3214,A,digests/U013_self_supervised_patent_representation_digest.md,extraction-cache/U013.md,no,,ingest_new,no,yes,"completed; hash verified; not in EB (Zuo et al. 2025, newer addition); no blocker"
U014,"Rethinking Patent Retrieval with Language Models",e0520c4384cf413c467ea8e62ba2113aa3cd06c4d737cc75c94c69307f1cc73e,B,digests/U014_rethinking_patent_retrieval_lms_digest.md,extraction-cache/U014.md,yes,KNO-E0520C4384CF,link_existing,no,no,"already in EB as KNO-E0520C4384CF; link_existing; do NOT re-ingest PDF"
U015,"Patent Retrieval with Few-Shot Fine-Tuning",b557af2ad1743c17fe867108d2460f0158167637967be5c30b9dfdd9a480f19e,B,digests/U015_patent_retrieval_few_shot_finetuning_digest.md,extraction-cache/U015.md,no,,ingest_new,no,yes,"completed; hash verified; no conflict; no blocker"
U016,"BMRetriever: Tuning LLMs as Better Biomedical Retrievers",8107e656437557c6e93e76a5de26cd06d7d47cc99e35032c23f857988e66ebca,C,digests/U016_bmretriever_biomedical_digest.md,extraction-cache/U016.md,no,,ingest_new,no,yes,"completed; hash verified; no conflict; no blocker"
U017,"Needle in a Haystack: Harnessing AI for Drug-Patent Search",23afd72319f09b3b25f39ad58ad18f6f3a4fc54c3d68da44539cdf72d40e7028,C,digests/U017_needle_haystack_drug_patent_digest.md,extraction-cache/U017.md,no,,ingest_new,no,yes,"completed; hash verified; Table 3 flag non-blocking (don't quote per-applicant cells)"
U018,"Enhancing Patent Retrieval Using Text and Knowledge-Graph Embeddings",4b1023ef0c1e63256232782d5d72aa189133fd510bf282d21680ebfeb730b9cb,B,digests/U018_patent_retrieval_text_kg_embeddings_digest.md,extraction-cache/U018.md,no,,ingest_new,no,yes,"completed; hash verified; no headline IR metric to misattribute (non-blocking)"
U019,"Patent Classification by Fine-Tuning BERT (PatentBERT)",12a08f0d9b1eb72a13d53bf6fa367e89dee8e55026e2269d3404095e87fde996,C,digests/U019_patentbert_classification_digest.md,extraction-cache/U019.md,no,,ingest_new,no,yes,"completed; hash verified; F1@1 attribution flag non-blocking (73.88/69.89 are baselines, not PatentBERT)"
U020,"Zero-Shot Hybrid Retrieval and Reranking for Biomedical Literature",9bd2b1f5eea98637de9ff49bd810b49be774502bd9732bf2b74a0c27404a6458,B,digests/U020_zeroshot_hybrid_retrieval_rerank_digest.md,extraction-cache/U020.md,no,,ingest_new,no,yes,"completed; hash verified; no conflict; no blocker"
