legacy_path,target_domain,target_path,status,approval_required,notes
Projects/myIS/App,app,00_Projects/00_myIS/00_App,completed,no,Independent App repository at numbered path
Projects/myIS/Research,research,00_Projects/00_myIS/01_Research,completed,no,Independent Research repository at numbered path
Projects/myIS-brain,brain,00_Projects/00_myIS/02_Brain,completed,no,Local-only Obsidian Mind repository
Projects,archive,99_Archive/00_myIS/navigation-shells/legacy-Projects-shell-20260727,archived,no,Verified legacy wrapper; do not recreate
Tools,archive,99_Archive/00_myIS/tools,archived,no,Retired runtime preserved; active dependencies use 02_Tools
ResearchWorkspaces,workspaces,03_Workspaces,completed,no,Disposable work now uses numbered workspace root
01_Stores/00_myIS/mlflow,stores,01_Stores/00_myIS/mlflow,active,no,Canonical local MLflow persistence
02_Tools,tools,02_Tools,active,no,Pinned dependencies remain separate from project code
03_Workspaces,workspaces,03_Workspaces,active,no,Disposable runtime sandboxes
99_Archive/00_myIS,archive,99_Archive/00_myIS,active,no,Read-only preserved legacy material
