u_id,legacy_path,sha256,size_bytes,collection,dedup_role,historical_canonical_path,object_path,alias_identity_status
U001,research/ref-paper/is1/pdfs/01_patentmatch_a_dataset_for_matching_patent_2020.pdf,68dbc32b1cf5c86af2b0cf13da395c951387d4a038da14d1b928cd35f6a60583,580951,is1,canonical,research/ref-paper/is1/pdfs/01_patentmatch_a_dataset_for_matching_patent_2020.pdf,01_evidence/A-tier/U001_patentmatch_a_dataset_for_matching_patent_claims_prior_art.pdf,verified
U002,research/ref-paper/is1/pdfs/02_prior_art_search_and_reranking_for_2021.pdf,3a6ba1ba7f465ab3a10166780128e278dc4e928ec53683536963a37ec6642d42,1079264,is1,canonical,research/ref-paper/is1/pdfs/02_prior_art_search_and_reranking_for_2021.pdf,01_evidence/A-tier/U002_prior_art_search_and_reranking_for_generated_patent_text.pdf,verified
U003,research/ref-paper/is1/pdfs/03_artificial_intelligence_for_patent_prior_art_2021.pdf,260940c71aeaf5d091fdf06d5739a2ab7c84f39e47c454787e8a55fe672983c1,5220231,is1,canonical,research/ref-paper/is1/pdfs/03_artificial_intelligence_for_patent_prior_art_2021.pdf,01_evidence/A-tier/U003_artificial_intelligence_for_patent_prior_art_searching.pdf,verified
U004,research/ref-paper/is1/pdfs/04_patent_prior_art_search_using_deep_2020.pdf,bcb2a7726c342934f30893b66901720751e372131510364007cfde89e0b7289c,6836250,is1,canonical,research/ref-paper/is1/pdfs/04_patent_prior_art_search_using_deep_2020.pdf,01_evidence/A-tier/U004_patent_prior_art_search_using_deep_learning_language_model.pdf,verified
U005,research/ref-paper/is1/pdfs/05_patentsberta_a_deep_nlp_hybrid_model_2021.pdf,fb0bb3f819a40a7e1ecd5c15aa714672902b491dfdd0a791dd399c50e943f668,849353,is1,canonical,research/ref-paper/is1/pdfs/05_patentsberta_a_deep_nlp_hybrid_model_2021.pdf,01_evidence/A-tier/U005_patentsberta_a_deep_nlp_based_hybrid_model_for_patent_distance_and_class.pdf,verified
U006,research/ref-paper/is1/pdfs/06_a_combination_of_bert_and_bm25_2022.pdf,98273831c57582843ad23aa2d9ad4d3c977bcc94b93eecd286f5bc2ef75a343a,494353,is1,canonical,research/ref-paper/is1/pdfs/06_a_combination_of_bert_and_bm25_2022.pdf,01_evidence/A-tier/U006_a_combination_of_bert_and_bm25_for_patent_search.pdf,verified
U007,research/ref-paper/is1/pdfs/07_copate_a_novel_contrastive_learning_framework_2022.pdf,210989901f720903067f41ad4b7d3c15c3467a2067076ccf65b422dab995dfe6,1644437,is1,canonical,research/ref-paper/is1/pdfs/07_copate_a_novel_contrastive_learning_framework_2022.pdf,01_evidence/A-tier/U007_copate_a_novel_contrastive_learning_framework_for_patent_embeddings.pdf,verified
U008,research/ref-paper/is1/pdfs/08_searchformer_semantic_patent_embeddings_by_siamese_2023.pdf,af7db61252ecccff373e728c84e406178183d80d3a3c1837e754cf7a9927ca16,2496651,is1,canonical,research/ref-paper/is1/pdfs/08_searchformer_semantic_patent_embeddings_by_siamese_2023.pdf,01_evidence/A-tier/U008_searchformer_semantic_patent_embeddings_by_siamese_transformers_for_prio.pdf,verified
U009,research/ref-paper/is1/pdfs/09_paecter_patent_level_representation_learning_using_2024.pdf,92f3e83d2cbf257acdd4efc6e46aad8c93610dbe4b89d303fe4c964c49d4436a,717453,is1,canonical,research/ref-paper/is1/pdfs/09_paecter_patent_level_representation_learning_using_2024.pdf,01_evidence/A-tier/U009_paecter_patent_level_representation_learning_using_citation_informed_tra.pdf,verified
U010,research/ref-paper/is1/pdfs/10_memgraph_enhancing_patent_matching_capability_of_2025.pdf,a2d8cf145bb05db89268aaaf47c71c847d990330fa0621ba935bb0e25feb1f33,1163105,is1,canonical,research/ref-paper/is1/pdfs/10_memgraph_enhancing_patent_matching_capability_of_2025.pdf,01_evidence/A-tier/U010_enhancing_the_patent_matching_capability_of_large_language_models_via_th.pdf,verified
U011,research/ref-paper/is1/pdfs/11_dapfam_domain_aware_family_level_dataset_2025.pdf,384dff3e3ac0fe6d2064572bb0322ef4b059c82fcbd703e680a3b524e7120c27,2350240,is1,canonical,research/ref-paper/is1/pdfs/11_dapfam_domain_aware_family_level_dataset_2025.pdf,01_evidence/A-tier/U011_dapfam_a_domain_aware_family_level_dataset_to_benchmark_cross_domain_pat.pdf,verified
U012,research/ref-paper/is1/pdfs/12_patenteb_a_comprehensive_benchmark_and_model_2025.pdf,528a290ea2e479ed72d377c0fb4d5e762feaf4c5a233dc62464dfc5c11358f85,1091042,is1,canonical,research/ref-paper/is1/pdfs/12_patenteb_a_comprehensive_benchmark_and_model_2025.pdf,01_evidence/A-tier/U012_patenteb_a_comprehensive_benchmark_and_model_family_for_patent_text_embe.pdf,verified
U013,research/ref-paper/is1/pdfs/13_patent_representation_learning_via_self_supervision_2025.pdf,39aacd435c9acc78a744b6e818b142e5ff76cd2ab40fedf8ac371da6891d3214,3259965,is1,canonical,research/ref-paper/is1/pdfs/13_patent_representation_learning_via_self_supervision_2025.pdf,01_evidence/A-tier/U013_patent_representation_learning_via_self_supervision.pdf,verified
U014,research/ref-paper/is1/pdfs/14_rethinking_patent_retrieval_with_language_models_2026.pdf,e0520c4384cf413c467ea8e62ba2113aa3cd06c4d737cc75c94c69307f1cc73e,1613194,is1,canonical,research/ref-paper/is1/pdfs/14_rethinking_patent_retrieval_with_language_models_2026.pdf,01_evidence/A-tier/U014_rethinking_patent_retrieval_with_language_models_toward_scalable_and_eff.pdf,verified
U015,research/ref-paper/is1/pdfs/15_patent_retrieval_with_few_shot_fine_2025.pdf,b557af2ad1743c17fe867108d2460f0158167637967be5c30b9dfdd9a480f19e,375045,is1,canonical,research/ref-paper/is1/pdfs/15_patent_retrieval_with_few_shot_fine_2025.pdf,01_evidence/A-tier/U015_patent_retrieval_with_few_shot_fine_tuning_and_quantized_embeddings.pdf,verified
U016,research/ref-paper/is1/pdfs/16_bmretriever_tuning_llms_as_better_biomedical_2024.pdf,8107e656437557c6e93e76a5de26cd06d7d47cc99e35032c23f857988e66ebca,1056268,is1,canonical,research/ref-paper/is1/pdfs/16_bmretriever_tuning_llms_as_better_biomedical_2024.pdf,01_evidence/C-tier/U016_bmretriever_tuning_large_language_models_as_better_biomedical_text_retri.pdf,verified
